Row Labels,Female,Male,Total
Sunday,58,2755,2813
Monday,62,1958,2020
Tuesday,47,1737,1784
Wednesday,39,1678,1717
Thursday,51,1604,1655
Friday,51,1966,2017
Saturday,63,2718,2781
