Row Labels,Female,Male,Grand Total
AMERICAN INDIAN/ALASKAN NATIVE,1,8,9
ASIAN / PACIFIC ISLANDER,32,322,354
BLACK,1624,16653,18281
BLACK HISPANIC,220,2265,2485
UNKNOWN,1,57,65
WHITE,107,553,660
WHITE HISPANIC,418,3324,3742
